Gender,Interest,Moment,Book,TV,TS,Member,Sky,Parent,Teacher,Other,V21,Decision,Value,Budget,ShouldUse,Time,FreeTime,Encourage,Schools,Bring,PL,WriteA,WriteB,WriteBG,Planet,Event,Open,ExhibDev,NP,VAR00001,V65,Divers
2,3,1,0,0,1,1,1,0,0,0, ,3,4,1,1,0,0,99,0,0,1,0,0,0,1,0,0,0,0,1,"Youtube Channel, involved with amateur astronomy organization, working with parks on light pollution awareness",3
2,5,1,0,0,1,0,0,0,0,0, ,6,4,1,1,1,0,99,0,0,0,0,0,0,0,0,0,0,1,0, ,0
2,1,1,0,0,0,0,1,0,0,0, ,1,5,99,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,"Public event (shopping mall), STEM workshops for students",4
2,6,1,0,0,0,0,1,0,0,0, ,6,5,2,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,Engaging with the public in everyay life experience,4
2,2,1,0,1,0,0,0,0,0,0, ,4,5,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0, ,5
2,3,1,0,0,0,0,0,0,0,0, ,4,5,0,0,1,1,99,0,0,1,0,0,0,0,0,0,0,0,0, ,1
2,2,1,0,0,1,0,0,0,0,0, ,3,5,99,1,1,3,99,0,0,0,1,0,0,0,0,1,0,0,0, ,2
2,1,1,1,0,0,0,1,1,0,1,Comics,99,5,99,1,2,1,99,0,0,0,0,0,0,0,0,1,0,0,0, ,1
2,5,0,0,0,0,0,0,0,0,0, ,5,5,99,1,2,2,1,1,1,1,0,0,1,1,1,1,0,0,0, ,7
2,2,0,0,0,0,0,0,0,0,0, ,5,5,99,1,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0, ,2
2,4,0,0,0,0,0,0,0,0,0, ,5,5,3,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0, ,2
2,5,0,0,0,0,0,0,0,0,0, ,5,4,0,1,4,5,1,1,1,1,1,0,0,0,0,0,0,0,1,"Consulting for broadcasting, online video",5
2,1,1,0,1,0,0,1,0,0,1,Moon Landing in 1969,6,5,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0, ,5
2,2,1,0,0,0,0,1,0,0,0, ,2,5,0,3,7,5,1,1,0,1,1,0,1,0,0,1,0,0,0, ,5
2,2,1,0,0,0,0,0,0,0,1,Hearing people talk about Halley's Comet,2,5,99,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0, ,6
2,2,1,0,0,0,0,0,0,0,1,Reading Sci-Fi Book,3,5,99,3,3,3,1,1,1,1,0,0,1,1,1,1,0,0,0, ,7
2,1,1,1,0,0,0,0,0,0,0, ,2,5,99,1,2,1,1,1,0,1,1,0,1,0,0,1,0,0,0, ,5
9,2,1,0,0,0,0,1,0,0,1,Spectacular Solar Eclipse,6,5,99,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0, ,4
9,4,0,0,0,0,0,0,0,0,0, ,6,5,0,1,1,2,1,1,0,1,0,0,0,0,1,1,0,0,0, ,4
